"sku";"name";"short_description";"description";"status";"price";"qty";"length";"categories";"featured";"weight";"image";"small_image";"thumbnail";"media_gallery"
"SKUL10001";"Ripsienpidennyshuolto (Ellipsi)";;;1;"60,00";1000;0;"[Store2 Category]/category1";0;;"/SKUL10001.jpg";"/SKUL10001.jpg";"/SKUL10001.jpg";
"HOHO031";"Kulmien värjäys";"Kulmien värjäys";"Kulmien värjäys";1;"10,00";1000;0;"[Store2 Category]/category1";0;;"/HOHO031.jpg";"/HOHO031.jpg";"/HOHO031.jpg";
"HOHO035";"Kulmien ja ripsien värjäys + muotoilu";"Kulmien ja ripsien värjäys + muotoilu";"Kulmien ja ripsien värjäys + muotoilu";1;"25,00";1000;0;"[Store2 Category]/category2";0;;;;;
